cell,x_um,y_um,orient
VIA_L1M1_PR_MR,180.55,15.13,N
VIA_L1M1_PR_MR,181.93,15.13,N
VIA_M1M2_PR,182.85,15.13,N
VIA_L1M1_PR_MR,183.77,15.13,N
VIA_L1M1_PR_MR,185.15,15.13,N
VIA_L1M1_PR_MR,186.53,15.13,N
VIA_L1M1_PR_MR,187.91,15.13,N
VIA_M1M2_PR,175.95,15.24,N
VIA_M2M3_PR,153.87,15.3,N
VIA_M2M3_PR,165.37,15.3,N
VIA_M2M3_PR,182.39,15.3,N
VIA_M1M2_PR,153.41,15.47,N
VIA_M1M2_PR,162.15,15.47,N
VIA_L1M1_PR_MR,162.15,15.47,N
VIA_M1M2_PR,163.53,15.47,N
VIA_L1M1_PR_MR,172.73,15.47,N
VIA_M1M2_PR,173.19,15.47,N
VIA_L1M1_PR_MR,173.65,15.47,N
VIA_M1M2_PR,179.17,15.47,N
VIA_M1M2_PR,184.69,15.47,N
VIA_L1M1_PR_MR,186.07,15.47,N
VIA_L1M1_PR_MR,188.37,15.47,N
VIA_M1M2_PR,190.21,15.47,N
VIA_M1M2_PR,157.09,15.81,N
VIA_M1M2_PR,161.23,15.81,N
VIA_L1M1_PR_MR,168.59,15.81,N
VIA_L1M1_PR_MR,181.47,15.81,N
VIA_M1M2_PR,182.39,15.81,N
VIA_L1M1_PR_MR,182.39,15.81,N
VIA_L1M1_PR_MR,182.85,15.81,N
VIA_M1M2_PR,182.85,15.81,N
VIA_M1M2_PR,190.67,15.81,N
VIA_M2M3_PR,158.93,15.98,N
VIA_M2M3_PR,175.49,15.98,N
sky130_fd_sc_hd__decap_3,10.12,16.32,N
sky130_fd_sc_hd__decap_3,10.12,16.32,FS
sky130_fd_sc_hd__tapvpwrvgnd_1,23.0,16.32,N
VIA_via3_4_2000_480_1_5_400_400,30.14,16.32,N
VIA_via4_5_2000_480_1_5_400_400,30.14,16.32,N
VIA_via2_3_2000_480_1_6_320_320,30.14,16.32,N
sky130_fd_sc_hd__tapvpwrvgnd_1,35.88,16.32,FS
sky130_fd_sc_hd__tapvpwrvgnd_1,48.76,16.32,N
VIA_via3_4_2000_480_1_5_400_400,60.14,16.32,N
VIA_via2_3_2000_480_1_6_320_320,60.14,16.32,N
VIA_via4_5_2000_480_1_5_400_400,60.14,16.32,N
sky130_fd_sc_hd__tapvpwrvgnd_1,61.64,16.32,FS
sky130_fd_sc_hd__tapvpwrvgnd_1,74.52,16.32,N
sky130_fd_sc_hd__tapvpwrvgnd_1,87.4,16.32,FS
VIA_via3_4_2000_480_1_5_400_400,90.14,16.32,N
VIA_via4_5_2000_480_1_5_400_400,90.14,16.32,N
VIA_via2_3_2000_480_1_6_320_320,90.14,16.32,N
sky130_fd_sc_hd__tapvpwrvgnd_1,100.28,16.32,N
sky130_fd_sc_hd__tapvpwrvgnd_1,113.16,16.32,FS
VIA_via4_5_2000_480_1_5_400_400,120.14,16.32,N
VIA_via3_4_2000_480_1_5_400_400,120.14,16.32,N
VIA_via2_3_2000_480_1_6_320_320,120.14,16.32,N
sky130_fd_sc_hd__tapvpwrvgnd_1,126.04,16.32,N
sky130_fd_sc_hd__tapvpwrvgnd_1,138.92,16.32,FS
VIA_via3_4_2000_480_1_5_400_400,150.14,16.32,N
VIA_via2_3_2000_480_1_6_320_320,150.14,16.32,N
VIA_via4_5_2000_480_1_5_400_400,150.14,16.32,N
sky130_fd_sc_hd__tapvpwrvgnd_1,151.8,16.32,N
sky130_fd_sc_hd__nor2_2,152.26,16.32,N
sky130_fd_sc_hd__or2_2,154.56,16.32,N
